	Elaeis.fa
GF00000001	p5.00_sc00219_p0004.1, p5.00_sc00015_p0051.1, p5.00_sc00084_p0070.1, p5.00_sc00001_p0888.1, p5.00_sc00069_p0074.1, p5.00_sc00092_p0052.1, p5.00_sc00003_p0056.1, p5.00_sc00007_p0191.1, p5.00_sc00083_p0012.1, p5.00_sc00071_p0068.1, p5.00_sc00034_p0125.1, p5.00_sc00034_p0124.1, p5.00_sc00120_p0052.1, p5.00_sc00172_p0002.1, p5.00_sc00105_p0042.1, p5.00_sc00034_p0046.1, p5.00_sc00001_p0198.1, p5.00_sc00224_p0005.1, p5.00_sc00105_p0011.1, p5.00_sc00122_p0042.1, p5.00_sc00001_p0306.1, p5.00_sc03474_p0001.1, p5.00_sc00004_p0052.1, p5.00_sc00001_p0880.1, p5.00_sc00051_p0022.1, p5.00_sc00757_p0001.1, p5.00_sc00389_p0029.1, p5.00_sc00018_p0092.1, p5.00_sc00075_p0068.1, p5.00_sc00004_p0090.1, p5.00_sc00109_p0024.1, p5.00_sc00038_p0027.1, p5.00_sc00004_p0310.1, p5.00_sc00015_p0014.1, p5.00_sc00060_p0114.1, p5.00_sc00079_p0041.1, p5.00_sc00075_p0031.1, p5.00_sc00022_p0009.1, p5.00_sc00012_p0059.1, p5.00_sc00182_p0075.1, p5.00_sc00128_p0060.1, p5.00_sc00356_p0006.1, p5.00_sc00045_p0061.1, p5.00_sc00231_p0013.1, p5.00_sc01843_p0001.1, p5.00_sc00019_p0256.1, p5.00_sc00110_p0010.1, p5.00_sc00064_p0037.1, p5.00_sc00050_p0013.1, p5.00_sc02706_p0001.1, p5.00_sc00125_p0017.1, p5.00_sc00043_p0075.1, p5.00_sc00128_p0070.1, p5.00_sc00009_p0209.1, p5.00_sc00046_p0064.1, p5.00_sc00020_p0177.1, p5.00_sc00077_p0053.1, p5.00_sc00045_p0005.1, p5.00_sc00064_p0043.1, p5.00_sc00051_p0049.1, p5.00_sc00057_p0059.1, p5.00_sc00107_p0024.1, p5.00_sc00001_p0049.1, p5.00_sc00017_p0061.1, p5.00_sc00039_p0101.1, p5.00_sc00065_p0056.1, p5.00_sc00002_p0012.1, p5.00_sc00263_p0027.1, p5.00_sc00016_p0037.1, p5.00_sc00018_p0250.1, p5.00_sc00122_p0008.1, p5.00_sc00182_p0052.1, p5.00_sc00221_p0011.1, p5.00_sc00156_p0012.1, p5.00_sc00008_p0296.1, p5.00_sc00135_p0050.1, p5.00_sc00031_p0010.1, p5.00_sc00007_p0227.1, p5.00_sc00154_p0051.1, p5.00_sc00061_p0011.1, p5.00_sc00104_p0008.1, p5.00_sc02070_p0001.1, p5.00_sc00031_p0097.1, p5.00_sc00013_p0111.1, p5.00_sc00079_p0037.1, p5.00_sc00129_p0016.1, p5.00_sc00003_p0264.1, p5.00_sc00060_p0110.1, p5.00_sc00594_p0002.1, p5.00_sc00083_p0089.1, p5.00_sc00054_p0136.1, p5.00_sc00015_p0068.1, p5.00_sc00056_p0021.1, p5.00_sc00041_p0035.1, p5.00_sc00140_p0027.1, p5.00_sc00100_p0048.1, p5.00_sc00017_p0101.1, p5.00_sc00017_p0073.1, p5.00_sc00002_p0369.1, p5.00_sc00087_p0011.1, p5.00_sc00125_p0005.1, p5.00_sc02023_p0001.1, p5.00_sc00134_p0047.1, p5.00_sc00014_p0067.1, p5.00_sc00099_p0136.1, p5.00_sc00009_p0156.1, p5.00_sc00054_p0121.1, p5.00_sc02154_p0001.1, p5.00_sc00335_p0022.1, p5.00_sc00049_p0062.1, p5.00_sc00001_p0600.1, p5.00_sc00038_p0186.1, p5.00_sc00133_p0016.1, p5.00_sc00133_p0004.1, p5.00_sc00105_p0047.1, p5.00_sc00091_p0006.1, p5.00_sc00060_p0097.1, p5.00_sc00014_p0183.1, p5.00_sc00037_p0122.1, p5.00_sc00774_p0003.1, p5.00_sc00118_p0020.1, p5.00_sc00035_p0076.1, p5.00_sc00772_p0003.1, p5.00_sc00054_p0128.1, p5.00_sc00137_p0006.1, p5.00_sc00300_p0002.1, p5.00_sc00087_p0010.1, p5.00_sc00203_p0008.1, p5.00_sc00009_p0011.1, p5.00_sc00075_p0025.1, p5.00_sc19106_p0001.1, p5.00_sc00785_p0001.1, p5.00_sc00003_p0325.1, p5.00_sc06304_p0001.1, p5.00_sc00001_p0822.1, p5.00_sc00085_p0035.1, p5.00_sc01248_p0001.1, p5.00_sc00034_p0156.1, p5.00_sc00027_p0007.1, p5.00_sc00054_p0110.1, p5.00_sc00070_p0098.1, p5.00_sc00046_p0015.1, p5.00_sc00002_p0487.1, p5.00_sc00291_p0020.1, p5.00_sc00035_p0061.1, p5.00_sc00085_p0022.1, p5.00_sc04816_p0001.1, p5.00_sc00001_p0294.1, p5.00_sc00083_p0056.1, p5.00_sc00009_p0007.1, p5.00_sc00025_p0203.1, p5.00_sc00003_p0035.1, p5.00_sc00006_p0077.1, p5.00_sc00076_p0009.1, p5.00_sc00003_p0061.1, p5.00_sc00064_p0085.1, p5.00_sc00214_p0013.1, p5.00_sc00103_p0084.1, p5.00_sc00099_p0022.1, p5.00_sc00175_p0030.1, p5.00_sc00209_p0020.1, p5.00_sc00238_p0018.1, p5.00_sc00136_p0025.1, p5.00_sc00178_p0014.1, p5.00_sc00176_p0021.1, p5.00_sc24259_p0001.1, p5.00_sc00003_p0417.1, p5.00_sc00635_p0003.1, p5.00_sc00014_p0122.1, p5.00_sc00056_p0023.1, p5.00_sc00119_p0013.1, p5.00_sc00166_p0073.1, p5.00_sc00065_p0054.1, p5.00_sc00227_p0036.1, p5.00_sc00129_p0018.1, p5.00_sc00062_p0027.1, p5.00_sc00016_p0131.1, p5.00_sc00031_p0031.1, p5.00_sc00198_p0017.1, p5.00_sc00188_p0005.1, p5.00_sc00062_p0018.1, p5.00_sc00018_p0089.1, p5.00_sc00161_p0001.1, p5.00_sc00142_p0023.1, p5.00_sc17272_p0001.1, p5.00_sc00006_p0226.1, p5.00_sc00065_p0005.1, p5.00_sc00211_p0047.1, p5.00_sc00073_p0022.1, p5.00_sc00060_p0033.1, p5.00_sc00070_p0079.1, p5.00_sc00168_p0011.1, p5.00_sc00049_p0009.1, p5.00_sc00036_p0022.1, p5.00_sc00445_p0005.1, p5.00_sc00009_p0130.1, p5.00_sc00035_p0024.1, p5.00_sc00988_p0002.1, p5.00_sc01248_p0002.1, p5.00_sc00191_p0011.1, p5.00_sc00019_p0188.1, p5.00_sc00059_p0053.1, p5.00_sc00035_p0105.1, p5.00_sc02970_p0001.1, p5.00_sc00099_p0001.1, p5.00_sc00268_p0009.1, p5.00_sc00103_p0024.1, p5.00_sc17677_p0001.1, p5.00_sc10869_p0001.1, p5.00_sc00883_p0001.1, p5.00_sc00035_p0027.1, p5.00_sc00458_p0004.1, p5.00_sc00284_p0024.1, p5.00_sc00008_p0207.1, p5.00_sc14159_p0001.1, p5.00_sc00012_p0112.1, p5.00_sc02576_p0001.1, p5.00_sc00025_p0027.1, p5.00_sc00051_p0061.1, p5.00_sc00054_p0098.1, p5.00_sc00036_p0015.1, p5.00_sc00033_p0184.1, p5.00_sc00120_p0043.1, p5.00_sc00177_p0032.1, p5.00_sc00142_p0005.1, p5.00_sc00013_p0178.1, p5.00_sc06899_p0001.1, p5.00_sc00033_p0207.1, p5.00_sc00001_p0233.1, p5.00_sc00023_p0235.1, p5.00_sc00578_p0009.1, p5.00_sc00116_p0005.1, p5.00_sc00059_p0040.1, p5.00_sc00227_p0002.1, p5.00_sc00018_p0226.1, p5.00_sc00051_p0069.1, p5.00_sc00035_p0106.1, p5.00_sc10218_p0001.1, p5.00_sc00194_p0018.1, p5.00_sc00003_p0391.1, p5.00_sc00038_p0185.1, p5.00_sc00021_p0055.1, p5.00_sc01851_p0001.1, p5.00_sc00268_p0008.1, p5.00_sc00034_p0152.1, p5.00_sc00080_p0032.1, p5.00_sc00007_p0211.1, p5.00_sc00205_p0010.1
GF00000002	p5.00_sc00024_p0045.1, p5.00_sc00031_p0008.1, p5.00_sc00170_p0052.1, p5.00_sc00059_p0146.1, p5.00_sc00022_p0068.1, p5.00_sc00126_p0026.1, p5.00_sc00002_p0065.1, p5.00_sc00310_p0027.1, p5.00_sc00018_p0057.1, p5.00_sc02151_p0001.1, p5.00_sc00297_p0005.1, p5.00_sc00111_p0037.1, p5.00_sc00697_p0002.1, p5.00_sc00020_p0148.1, p5.00_sc00001_p0124.1, p5.00_sc05135_p0001.1, p5.00_sc00134_p0044.1, p5.00_sc00001_p0517.1, p5.00_sc00774_p0005.1, p5.00_sc00011_p0100.1, p5.00_sc00087_p0016.1, p5.00_sc06281_p0001.1, p5.00_sc00001_p0619.1, p5.00_sc00008_p0276.1, p5.00_sc00283_p0005.1, p5.00_sc00044_p0100.1, p5.00_sc00312_p0001.1, p5.00_sc00014_p0117.1, p5.00_sc04919_p0001.1, p5.00_sc00041_p0015.1, p5.00_sc00017_p0215.1, p5.00_sc00231_p0008.1, p5.00_sc00169_p0010.1, p5.00_sc00101_p0039.1, p5.00_sc00047_p0032.1, p5.00_sc00036_p0137.1, p5.00_sc00159_p0034.1, p5.00_sc00002_p0265.1, p5.00_sc00017_p0057.1, p5.00_sc00037_p0073.1, p5.00_sc00023_p0248.1, p5.00_sc00075_p0128.1, p5.00_sc00258_p0005.1, p5.00_sc00029_p0092.1, p5.00_sc00002_p0280.1, p5.00_sc00031_p0038.1, p5.00_sc00100_p0052.1, p5.00_sc00036_p0191.1, p5.00_sc00089_p0005.1, p5.00_sc00027_p0021.1, p5.00_sc00122_p0006.1, p5.00_sc00014_p0208.1, p5.00_sc00026_p0019.1, p5.00_sc12082_p0001.1, p5.00_sc00275_p0002.1, p5.00_sc00134_p0019.1, p5.00_sc00151_p0031.1, p5.00_sc00039_p0078.1, p5.00_sc11408_p0001.1, p5.00_sc00014_p0047.1, p5.00_sc00135_p0028.1, p5.00_sc00334_p0002.1, p5.00_sc00102_p0006.1, p5.00_sc00179_p0008.1, p5.00_sc06236_p0001.1, p5.00_sc00025_p0117.1, p5.00_sc00002_p0064.1, p5.00_sc00282_p0006.1, p5.00_sc07870_p0001.1, p5.00_sc00044_p0008.1, p5.00_sc00166_p0072.1, p5.00_sc00165_p0029.1, p5.00_sc08292_p0001.1, p5.00_sc00010_p0087.1, p5.00_sc00310_p0006.1, p5.00_sc15776_p0001.1, p5.00_sc00145_p0002.1, p5.00_sc12208_p0001.1, p5.00_sc13248_p0001.1, p5.00_sc00036_p0198.1, p5.00_sc00019_p0248.1, p5.00_sc00003_p0405.1, p5.00_sc00001_p0218.1, p5.00_sc00099_p0049.1, p5.00_sc00036_p0028.1, p5.00_sc24463_p0001.1, p5.00_sc01809_p0001.1, p5.00_sc07317_p0001.1, p5.00_sc00042_p0143.1, p5.00_sc00007_p0204.1, p5.00_sc00009_p0129.1, p5.00_sc00264_p0014.1, p5.00_sc00033_p0026.1, p5.00_sc00030_p0010.1, p5.00_sc07965_p0001.1, p5.00_sc00042_p0148.1, p5.00_sc00083_p0107.1, p5.00_sc00069_p0124.1, p5.00_sc09350_p0001.1, p5.00_sc00061_p0065.1, p5.00_sc00001_p0166.1, p5.00_sc00003_p0260.1, p5.00_sc01118_p0001.1, p5.00_sc00008_p0318.1, p5.00_sc09753_p0001.1, p5.00_sc05505_p0001.1, p5.00_sc00002_p0225.1, p5.00_sc00057_p0076.1, p5.00_sc00009_p0056.1, p5.00_sc00097_p0040.1, p5.00_sc09506_p0001.1, p5.00_sc00172_p0004.1, p5.00_sc00024_p0016.1, p5.00_sc11361_p0001.1, p5.00_sc00033_p0110.1, p5.00_sc00065_p0050.1, p5.00_sc00086_p0013.1, p5.00_sc00002_p0195.1, p5.00_sc00036_p0073.1, p5.00_sc00039_p0004.1, p5.00_sc00225_p0007.1, p5.00_sc00039_p0072.1, p5.00_sc00106_p0017.1, p5.00_sc00389_p0025.1, p5.00_sc04851_p0002.1, p5.00_sc00017_p0008.1, p5.00_sc00075_p0077.1, p5.00_sc00022_p0072.1, p5.00_sc00211_p0010.1, p5.00_sc00001_p0035.1, p5.00_sc00134_p0020.1, p5.00_sc00037_p0125.1, p5.00_sc00609_p0001.1, p5.00_sc05378_p0002.1, p5.00_sc00128_p0057.1, p5.00_sc00013_p0173.1, p5.00_sc06716_p0001.1, p5.00_sc00029_p0088.1, p5.00_sc00174_p0034.1, p5.00_sc00494_p0006.1, p5.00_sc00008_p0235.1, p5.00_sc28527_p0001.1, p5.00_sc00058_p0050.1, p5.00_sc00068_p0010.1, p5.00_sc00011_p0054.1, p5.00_sc00068_p0005.1, p5.00_sc00064_p0031.1, p5.00_sc00083_p0100.1, p5.00_sc00004_p0370.1, p5.00_sc26929_p0001.1, p5.00_sc31523_p0001.1, p5.00_sc00188_p0017.1, p5.00_sc03533_p0001.1, p5.00_sc00058_p0099.1, p5.00_sc00092_p0016.1, p5.00_sc03377_p0001.1, p5.00_sc00001_p0741.1, p5.00_sc00123_p0011.1, p5.00_sc17658_p0001.1, p5.00_sc00941_p0004.1, p5.00_sc00108_p0041.1, p5.00_sc00041_p0062.1, p5.00_sc08573_p0001.1, p5.00_sc21574_p0001.1, p5.00_sc09847_p0001.1, p5.00_sc00009_p0125.1, p5.00_sc00031_p0073.1, p5.00_sc00092_p0044.1, p5.00_sc00006_p0146.1, p5.00_sc00069_p0004.1, p5.00_sc00153_p0020.1, p5.00_sc00008_p0082.1, p5.00_sc00076_p0053.1, p5.00_sc00053_p0008.1, p5.00_sc00075_p0085.1, p5.00_sc00013_p0137.1, p5.00_sc00304_p0004.1, p5.00_sc07184_p0001.1, p5.00_sc00013_p0138.1, p5.00_sc00085_p0002.1, p5.00_sc36924_p0001.1, p5.00_sc00136_p0076.1, p5.00_sc04143_p0001.1, p5.00_sc00173_p0018.1
GF00000003	p5.00_sc00001_p0288.1, p5.00_sc00113_p0031.1, p5.00_sc00006_p0119.1, p5.00_sc00039_p0012.1, p5.00_sc00003_p0116.1, p5.00_sc00002_p0230.1, p5.00_sc00048_p0077.1, p5.00_sc00148_p0055.1, p5.00_sc00001_p0917.1, p5.00_sc00009_p0226.1, p5.00_sc00070_p0117.1, p5.00_sc00332_p0021.1, p5.00_sc00053_p0066.1, p5.00_sc00033_p0058.1, p5.00_sc00494_p0002.1, p5.00_sc00063_p0055.1, p5.00_sc00718_p0001.1, p5.00_sc00321_p0006.1, p5.00_sc00010_p0200.1, p5.00_sc00941_p0005.1, p5.00_sc00126_p0085.1, p5.00_sc00321_p0004.1, p5.00_sc01534_p0002.1, p5.00_sc00140_p0023.1, p5.00_sc08110_p0001.1, p5.00_sc10903_p0001.1, p5.00_sc00390_p0008.1, p5.00_sc00214_p0017.1, p5.00_sc00196_p0004.1, p5.00_sc00014_p0165.1, p5.00_sc00096_p0011.1, p5.00_sc09020_p0001.1, p5.00_sc00037_p0046.1, p5.00_sc00169_p0016.1, p5.00_sc00002_p0512.1, p5.00_sc03352_p0001.1, p5.00_sc02815_p0001.1, p5.00_sc00173_p0008.1, p5.00_sc10028_p0001.1, p5.00_sc00044_p0028.1, p5.00_sc07896_p0001.1, p5.00_sc00542_p0004.1, p5.00_sc00002_p0051.1, p5.00_sc00058_p0015.1, p5.00_sc00205_p0050.1, p5.00_sc00002_p0196.1, p5.00_sc00006_p0066.1, p5.00_sc10348_p0001.1, p5.00_sc24095_p0001.1, p5.00_sc00008_p0290.1, p5.00_sc00105_p0050.1, p5.00_sc11289_p0001.1, p5.00_sc15122_p0001.1, p5.00_sc00025_p0011.1, p5.00_sc00128_p0052.1, p5.00_sc00006_p0061.1, p5.00_sc00002_p0171.1, p5.00_sc00011_p0132.1, p5.00_sc00076_p0007.1, p5.00_sc00421_p0001.1, p5.00_sc00020_p0134.1, p5.00_sc00318_p0015.1, p5.00_sc00034_p0036.1, p5.00_sc00012_p0145.1, p5.00_sc00165_p0018.1, p5.00_sc00406_p0005.1, p5.00_sc00013_p0155.1, p5.00_sc06526_p0001.1, p5.00_sc00017_p0247.1, p5.00_sc00080_p0111.1, p5.00_sc14229_p0001.1, p5.00_sc00202_p0007.1, p5.00_sc00025_p0008.1, p5.00_sc00005_p0072.1, p5.00_sc00003_p0166.1, p5.00_sc06915_p0001.1, p5.00_sc00197_p0026.1, p5.00_sc08368_p0001.1, p5.00_sc00073_p0015.1, p5.00_sc00112_p0018.1, p5.00_sc10201_p0001.1, p5.00_sc00167_p0005.1, p5.00_sc00037_p0156.1, p5.00_sc00332_p0009.1, p5.00_sc00027_p0018.1, p5.00_sc00075_p0063.1, p5.00_sc00135_p0004.1, p5.00_sc00063_p0062.1, p5.00_sc00104_p0016.1, p5.00_sc10823_p0001.1, p5.00_sc08640_p0001.1, p5.00_sc00009_p0097.1, p5.00_sc00008_p0104.1, p5.00_sc00097_p0003.1, p5.00_sc00696_p0014.1, p5.00_sc00039_p0073.1, p5.00_sc00213_p0044.1, p5.00_sc08294_p0001.1, p5.00_sc00279_p0007.1, p5.00_sc00059_p0133.1, p5.00_sc00128_p0055.1, p5.00_sc00533_p0001.1, p5.00_sc07659_p0001.1, p5.00_sc00034_p0106.1, p5.00_sc00026_p0010.1, p5.00_sc00016_p0022.1, p5.00_sc00053_p0017.1, p5.00_sc00050_p0088.1, p5.00_sc00562_p0003.1, p5.00_sc05175_p0001.1, p5.00_sc00055_p0073.1, p5.00_sc00013_p0083.1, p5.00_sc00519_p0002.1, p5.00_sc00001_p0395.1, p5.00_sc00123_p0033.1, p5.00_sc06510_p0002.1, p5.00_sc00054_p0102.1, p5.00_sc00005_p0174.1, p5.00_sc00059_p0092.1, p5.00_sc00221_p0019.1, p5.00_sc00005_p0236.1, p5.00_sc00010_p0198.1, p5.00_sc00033_p0209.1, p5.00_sc00052_p0007.1, p5.00_sc09793_p0001.1, p5.00_sc00005_p0148.1, p5.00_sc00103_p0097.1, p5.00_sc08202_p0001.1, p5.00_sc00025_p0042.1, p5.00_sc13929_p0001.1, p5.00_sc00069_p0049.1, p5.00_sc00011_p0110.1, p5.00_sc06012_p0001.1, p5.00_sc00014_p0057.1, p5.00_sc00312_p0002.1, p5.00_sc07711_p0001.1, p5.00_sc11548_p0001.1, p5.00_sc00089_p0014.1, p5.00_sc10239_p0001.1, p5.00_sc07427_p0001.1, p5.00_sc00224_p0004.1, p5.00_sc29033_p0001.1, p5.00_sc00139_p0014.1, p5.00_sc00024_p0083.1, p5.00_sc00001_p0739.1, p5.00_sc00005_p0147.1, p5.00_sc16369_p0001.1, p5.00_sc00030_p0080.1, p5.00_sc18427_p0001.1, p5.00_sc35171_p0001.1, p5.00_sc39702_p0001.1, p5.00_sc00001_p0178.1, p5.00_sc00083_p0048.1, p5.00_sc00001_p0013.1, p5.00_sc00010_p0076.1, p5.00_sc26965_p0001.1, p5.00_sc00011_p0105.1, p5.00_sc22271_p0001.1, p5.00_sc00051_p0103.1, p5.00_sc40253_p0001.1, p5.00_sc09571_p0001.1, p5.00_sc00205_p0038.1, p5.00_sc09287_p0001.1, p5.00_sc00001_p0072.1, p5.00_sc00003_p0217.1, p5.00_sc00081_p0017.1, p5.00_sc00001_p0865.1, p5.00_sc26825_p0001.1, p5.00_sc00011_p0097.1, p5.00_sc19196_p0001.1, p5.00_sc31040_p0001.1, p5.00_sc32413_p0001.1, p5.00_sc00017_p0067.1
GF00000004	p5.00_sc01803_p0001.1, p5.00_sc00679_p0001.1, p5.00_sc03849_p0001.1, p5.00_sc00026_p0013.1, p5.00_sc00875_p0003.1, p5.00_sc00510_p0004.1, p5.00_sc00373_p0002.1, p5.00_sc02443_p0001.1, p5.00_sc00242_p0003.1, p5.00_sc04946_p0001.1, p5.00_sc04761_p0001.1, p5.00_sc03362_p0001.1, p5.00_sc00501_p0002.1, p5.00_sc00829_p0001.1, p5.00_sc02659_p0001.1, p5.00_sc14840_p0001.1, p5.00_sc00092_p0053.1, p5.00_sc00199_p0013.1, p5.00_sc03399_p0001.1, p5.00_sc08708_p0001.1, p5.00_sc12230_p0001.1, p5.00_sc00707_p0001.1, p5.00_sc02814_p0001.1, p5.00_sc11971_p0001.1, p5.00_sc00714_p0001.1, p5.00_sc00961_p0001.1, p5.00_sc00082_p0012.1, p5.00_sc00016_p0001.1, p5.00_sc01510_p0001.1, p5.00_sc01328_p0001.1, p5.00_sc00598_p0001.1, p5.00_sc00255_p0009.1, p5.00_sc00008_p0014.1, p5.00_sc00611_p0001.1, p5.00_sc00021_p0013.1, p5.00_sc01006_p0001.1, p5.00_sc00518_p0001.1, p5.00_sc00645_p0002.1, p5.00_sc01763_p0001.1, p5.00_sc02509_p0001.1, p5.00_sc00981_p0001.1, p5.00_sc01967_p0002.1, p5.00_sc00482_p0001.1, p5.00_sc05286_p0001.1, p5.00_sc02089_p0002.1, p5.00_sc00702_p0001.1, p5.00_sc03507_p0001.1, p5.00_sc00843_p0002.1, p5.00_sc00373_p0001.1, p5.00_sc02550_p0001.1, p5.00_sc01826_p0001.1, p5.00_sc00277_p0002.1, p5.00_sc00001_p0275.1, p5.00_sc00260_p0001.1, p5.00_sc00042_p0042.1, p5.00_sc05604_p0001.1, p5.00_sc02187_p0001.1, p5.00_sc01357_p0001.1, p5.00_sc01228_p0001.1, p5.00_sc00128_p0072.1, p5.00_sc11368_p0001.1, p5.00_sc00654_p0001.1, p5.00_sc01603_p0001.1, p5.00_sc05846_p0001.1, p5.00_sc00725_p0003.1, p5.00_sc00583_p0002.1, p5.00_sc00251_p0002.1, p5.00_sc00194_p0003.1, p5.00_sc00002_p0236.1, p5.00_sc00214_p0003.1, p5.00_sc00032_p0080.1, p5.00_sc00135_p0002.1, p5.00_sc00477_p0001.1, p5.00_sc05453_p0001.1, p5.00_sc09889_p0001.1, p5.00_sc06138_p0001.1, p5.00_sc00118_p0062.1, p5.00_sc00167_p0001.1, p5.00_sc01632_p0002.1, p5.00_sc11072_p0001.1, p5.00_sc15871_p0001.1, p5.00_sc00215_p0008.1, p5.00_sc00371_p0004.1, p5.00_sc00774_p0004.1, p5.00_sc03201_p0001.1, p5.00_sc32861_p0001.1, p5.00_sc23675_p0001.1, p5.00_sc01640_p0002.1, p5.00_sc00295_p0003.1, p5.00_sc00289_p0001.1, p5.00_sc02690_p0001.1, p5.00_sc13984_p0001.1, p5.00_sc03439_p0001.1, p5.00_sc00815_p0001.1, p5.00_sc01420_p0001.1, p5.00_sc00025_p0202.1, p5.00_sc04448_p0001.1, p5.00_sc01057_p0001.1, p5.00_sc00793_p0003.1, p5.00_sc12315_p0001.1, p5.00_sc00485_p0002.1, p5.00_sc21861_p0001.1, p5.00_sc00424_p0002.1, p5.00_sc08960_p0001.1, p5.00_sc24516_p0001.1, p5.00_sc35257_p0001.1, p5.00_sc15191_p0001.1, p5.00_sc00200_p0010.1, p5.00_sc09740_p0001.1, p5.00_sc20392_p0001.1, p5.00_sc03682_p0001.1, p5.00_sc00900_p0001.1, p5.00_sc01003_p0002.1, p5.00_sc00868_p0001.1, p5.00_sc00673_p0003.1, p5.00_sc04771_p0001.1, p5.00_sc00912_p0004.1, p5.00_sc32466_p0001.1, p5.00_sc01030_p0001.1, p5.00_sc07969_p0001.1, p5.00_sc01399_p0001.1, p5.00_sc01787_p0001.1, p5.00_sc02635_p0001.1, p5.00_sc00556_p0001.1, p5.00_sc03953_p0001.1, p5.00_sc23096_p0001.1, p5.00_sc00021_p0065.1, p5.00_sc33817_p0001.1, p5.00_sc00336_p0008.1, p5.00_sc06894_p0001.1
GF00000005	p5.00_sc01104_p0001.1, p5.00_sc00506_p0002.1, p5.00_sc00135_p0061.1, p5.00_sc01718_p0002.1, p5.00_sc00225_p0004.1, p5.00_sc00102_p0002.1, p5.00_sc00563_p0001.1, p5.00_sc00585_p0001.1, p5.00_sc00027_p0103.1, p5.00_sc02746_p0001.1, p5.00_sc01231_p0001.1, p5.00_sc01037_p0001.1, p5.00_sc01330_p0002.1, p5.00_sc01297_p0002.1, p5.00_sc00241_p0006.1, p5.00_sc00502_p0001.1, p5.00_sc00013_p0103.1, p5.00_sc00579_p0001.1, p5.00_sc00843_p0001.1, p5.00_sc02190_p0002.1, p5.00_sc00572_p0002.1, p5.00_sc01802_p0003.1, p5.00_sc04835_p0001.1, p5.00_sc00120_p0055.1, p5.00_sc00598_p0002.1, p5.00_sc01720_p0001.1, p5.00_sc02929_p0001.1, p5.00_sc00824_p0001.1, p5.00_sc00241_p0012.1, p5.00_sc00651_p0002.1, p5.00_sc02895_p0001.1, p5.00_sc00153_p0039.1, p5.00_sc00963_p0001.1, p5.00_sc02284_p0001.1, p5.00_sc02859_p0002.1, p5.00_sc00043_p0030.1, p5.00_sc00030_p0105.1, p5.00_sc00749_p0001.1, p5.00_sc02683_p0001.1, p5.00_sc02195_p0001.1, p5.00_sc02303_p0001.1, p5.00_sc00705_p0001.1, p5.00_sc01041_p0001.1, p5.00_sc00240_p0009.1, p5.00_sc00869_p0002.1, p5.00_sc00352_p0007.1, p5.00_sc00198_p0006.1, p5.00_sc00154_p0068.1, p5.00_sc00973_p0001.1, p5.00_sc00026_p0060.1, p5.00_sc00132_p0009.1, p5.00_sc00881_p0003.1, p5.00_sc14389_p0001.1, p5.00_sc01380_p0001.1, p5.00_sc02937_p0001.1, p5.00_sc03036_p0001.1, p5.00_sc03755_p0001.1, p5.00_sc01002_p0001.1, p5.00_sc16344_p0001.1, p5.00_sc00154_p0037.1, p5.00_sc01108_p0003.1, p5.00_sc02809_p0001.1, p5.00_sc00054_p0010.1, p5.00_sc00627_p0001.1, p5.00_sc01988_p0001.1, p5.00_sc00003_p0401.1, p5.00_sc01179_p0001.1, p5.00_sc00392_p0001.1, p5.00_sc02867_p0001.1, p5.00_sc02726_p0001.1, p5.00_sc03666_p0001.1, p5.00_sc01486_p0001.1, p5.00_sc05347_p0001.1, p5.00_sc00489_p0001.1, p5.00_sc00236_p0025.1, p5.00_sc00798_p0001.1, p5.00_sc00643_p0005.1, p5.00_sc02533_p0002.1, p5.00_sc00335_p0008.1, p5.00_sc00427_p0001.1, p5.00_sc00596_p0002.1, p5.00_sc00523_p0002.1, p5.00_sc04308_p0001.1, p5.00_sc00715_p0003.1, p5.00_sc00635_p0001.1, p5.00_sc00847_p0001.1, p5.00_sc02262_p0001.1, p5.00_sc00142_p0007.1, p5.00_sc00222_p0006.1, p5.00_sc04898_p0001.1, p5.00_sc00919_p0001.1, p5.00_sc00219_p0002.1, p5.00_sc00001_p0835.1, p5.00_sc03286_p0001.1, p5.00_sc02872_p0001.1, p5.00_sc01181_p0001.1, p5.00_sc00886_p0001.1, p5.00_sc00172_p0008.1, p5.00_sc29586_p0001.1, p5.00_sc00054_p0009.1, p5.00_sc01461_p0001.1, p5.00_sc01665_p0001.1, p5.00_sc02052_p0001.1, p5.00_sc00153_p0019.1, p5.00_sc00751_p0002.1, p5.00_sc00731_p0001.1, p5.00_sc00030_p0061.1, p5.00_sc40065_p0001.1, p5.00_sc05606_p0001.1, p5.00_sc02127_p0001.1, p5.00_sc00435_p0006.1, p5.00_sc00241_p0011.1, p5.00_sc32610_p0001.1
